	001_V2	010_V2	015_V2	017_V2	024_V2	028_V2	034_V2	040_V2	042_V2	043_V2
ENSG00000106144	30.99552039	21.78221221	26.77503805	19.18461354	25.9883814	21.89017065	17.06403072	21.70621806	31.42205848	28.65468424
ENSG00000106153	67.95932715	78.46937043	68.0294254	99.11507469	82.50648127	76.52140548	92.13891286	84.50482356	69.02655036	61.21533345
ENSG00000106178	2.538994755	4.882877693	0.739085115	0.749144501	2.154648968	2.524339816	3.323716827	0.98307147	0.82857355	1.936570871
ENSG00000106211	194.1176899	298.1225717	172.4755901	206.1775954	245.3316464	239.8499593	398.4691029	237.3920986	294.1117421	210.5938764
ENSG00000106236	0.362713536	0.114442446	0.067189556	0.0977145	0.397781348	0.037676714	0.17132561	0.196614294	0.446154989	0.098469705
ENSG00000106244	63.17810326	70.45839922	57.41347556	49.93210959	64.63946905	59.71759118	62.08840093	54.73741945	66.34962043	59.18029288
ENSG00000106245	24.40072882	23.72773379	21.70222657	24.42862505	24.49670135	26.71279	29.26241413	27.80126117	23.23192762	22.61520898
ENSG00000106246	4.517432227	2.594028775	3.460262131	3.778294007	3.944665034	3.956054936	3.56357268	2.28072581	3.983526683	3.709025566
ENSG00000106258	5.902338457	5.416942441	5.375164476	6.221156512	3.347993012	2.599693244	4.79711707	4.089577315	6.150565199	6.89287937
ENSG00000106261	92.26113409	72.25133087	93.72943055	66.47843162	86.8157792	73.73332867	59.72410752	72.07880018	88.59363343	87.80215388
ENSG00000106263	139.6117376	145.0367265	124.8046002	99.83164769	150.3282011	130.8512266	128.2543514	137.0008401	148.7289522	136.7087742
ENSG00000106266	36.46919739	23.15552156	28.92510384	22.63719254	39.61239257	30.51813808	20.35348242	27.84058403	35.53305801	30.45996217
ENSG00000106268	12.66199982	9.155395675	10.11202817	9.152591517	15.24828501	10.7378634	16.03607706	10.73514045	10.61211508	10.83166758
ENSG00000106278	0.593531241	0.228884892	0.436732114	0.260572	0.928156479	0.301413709	0.925158292	0.275260012	1.083519258	0.886227348
ENSG00000106290	18.82812994	16.17453236	16.73019943	14.26631703	14.65161299	13.82735392	9.594234139	15.41456065	19.56708307	19.69394106
ENSG00000106299	45.63595768	50.08764384	49.51870273	41.65894858	41.96593222	49.92164562	41.83771387	49.58612495	58.54190813	58.55665141
ENSG00000106305	7.946723844	15.4497302	7.12209293	9.543449518	11.27047153	11.64210453	10.75924828	8.4937375	8.92309977	10.04390994
ENSG00000106327	0.230817705	0.19073741	0.134379112	0.065143	0.265187565	0.150706855	0.137060488	0.235937153	0.382418562	0.13129294
ENSG00000106330	18.16865078	15.37343524	20.02248767	12.24688402	16.14329304	15.07068547	14.63120706	14.66742633	15.29674246	15.59103667
ENSG00000106333	92.26113409	49.85875895	75.62184522	75.69616614	61.05943692	52.67204572	61.06044727	46.24368195	93.78815223	64.30071755
ENSG00000106336	0.527583326	0.152589928	0.671895559	0.293143501	0.430929794	0.339090423	0.068530244	0.353905729	0.254945708	0.328232351
ENSG00000106344	51.34045239	53.63535966	56.10327922	38.85779957	60.13128044	48.4899305	37.17765729	44.31686187	53.34738934	55.47126731
ENSG00000106346	13.18958314	9.765755387	13.03477385	9.576021018	10.70694795	13.07381965	8.120833897	11.32498333	15.51981996	12.30871316
ENSG00000106348	57.17684293	59.85339923	79.85478724	54.1664046	77.50106597	72.30161355	62.25972654	64.25355128	40.82318145	57.83454024
ENSG00000106351	22.4552653	13.9619784	20.05608245	12.14916952	16.11014459	13.94038406	10.65645292	13.48774057	18.41982738	17.03525901
ENSG00000106355	29.51169229	26.93212228	25.80078948	29.99835156	30.13193711	31.49773263	34.91615924	30.1606327	28.8726014	24.2235475
ENSG00000106366	1.780593724	0.305179856	0.537516448	0.781716001	0.662968913	0.527473991	1.404869999	0.786457176	2.740666358	0.820580877
ENSG00000106367	22.32336947	21.1718525	19.85451378	25.34062705	22.27575549	20.15704182	24.25970632	21.23434375	22.21214478	18.54512783
ENSG00000106392	32.3144787	38.71969421	32.21739208	44.10181108	30.06564022	34.62489987	37.41751314	27.21141829	43.69132066	42.63738239
ENSG00000106397	52.32967112	44.13663665	50.69451996	40.25837408	50.1535983	41.89650561	34.43644754	45.29993334	55.386955	49.72720117
ENSG00000106399	12.5960519	14.22901078	13.06836863	16.70917953	16.14329304	15.25906904	17.33815169	14.03826059	11.6000297	9.814147294
ENSG00000106400	75.97199891	85.64109705	84.92759872	99.04993169	107.3346671	81.2686714	104.2345009	83.52175209	89.86836197	76.90483983
ENSG00000106404	18.49839036	8.27800359	13.53869552	10.32516552	12.56326091	9.230794851	6.921554629	10.34191186	10.83519258	11.8820111
ENSG00000106415	36.04053594	81.21598914	50.72811474	35.20979157	49.85526228	64.27647353	62.32825678	57.56866528	59.24300883	66.4014046
ENSG00000106443	22.35634343	20.37075538	23.34837069	19.15204204	22.34205238	20.27007196	20.52480803	21.31298947	23.39126868	21.17098664
ENSG00000106459	22.19147364	16.17453236	17.09974199	13.38688653	19.25924693	15.37209918	13.80884414	16.59424641	19.47147843	17.33066813
ENSG00000106460	61.85914495	63.78258987	63.25896692	59.83384561	61.22517915	59.90597475	60.54647044	62.71995978	70.36501533	70.86536457
ENSG00000106462	3.69308328	2.250701437	4.098562913	2.736006005	2.850766327	2.637369957	1.95311195	3.342442998	2.708798145	3.938788211
ENSG00000106477	8.507281128	13.65679855	11.85895662	12.60517052	12.16547956	9.984329124	10.93057389	11.44295191	12.84289003	10.83166758
ENSG00000106479	32.3144787	15.79305754	30.8064114	17.62118153	22.80613062	19.85562811	16.37872828	17.77393218	26.89677216	26.25858808
ENSG00000106483	16.75077059	65.27034167	17.70444799	137.2888728	17.46923087	55.79921296	121.6069177	30.27860127	133.8783648	71.19359692
ENSG00000106484	272.0681263	188.1052336	414.290802	301.5143761	270.1598322	360.8675636	197.5384279	169.7174586	222.5038664	277.8486851
ENSG00000106511	68.88259797	48.44730211	63.96445726	57.35841161	57.21421722	53.61396356	43.92788631	75.9717632	79.63866545	65.08847519
ENSG00000106524	33.60046306	23.76588127	33.82994142	24.91719755	27.71210058	27.2779407	23.7457295	28.07652118	33.8440427	30.85384099
ENSG00000106526	0.956244778	1.220719423	1.343791119	1.433146003	1.027601816	0.866564415	0.274120975	0.865102894	0.382418562	0.820580877
ENSG00000106536	0.197843747	0.648507194	1.410980675	0.618858501	1.093898707	0.41444385	0.479711707	0.747134317	0.318682135	0.459525291
ENSG00000106537	61.10074392	78.46937043	105.6891715	86.31447516	86.68318542	76.21999177	44.0649468	97.04881551	49.2363898	66.82810665
ENSG00000106538	606.6878507	757.2656648	760.9889107	915.9757247	708.017651	922.6273645	870.6082179	669.3143796	487.7748753	571.1571139
ENSG00000106546	58.66067103	36.65973018	57.31269122	31.72464106	46.17578482	38.2795411	40.09019265	40.54186742	82.31559538	59.41005552
ENSG00000106554	31.85284329	51.99501794	35.03935343	43.38523808	44.65095631	49.92164562	54.61860435	48.79966777	41.49241393	35.90861919
ENSG00000106560	20.47682783	11.59683452	16.05830387	9.054877017	15.18198812	10.96392368	10.48512731	13.1731577	16.41212993	16.37879431
ENSG00000106565	62.78241577	24.49068343	43.40445314	14.52688903	54.99327136	59.15244047	53.31652972	19.93668941	35.34184873	33.77510891
ENSG00000106571	28.65436938	13.42791366	20.8959519	12.40974152	17.10459796	10.7378634	16.10460731	14.58878061	30.37040743	17.65890048
ENSG00000106588	8.93594258	9.384280567	8.969805719	10.48802302	11.96658889	9.871298983	10.99910414	10.18462043	10.26156474	8.665334065
ENSG00000106591	59.08933249	43.03035967	54.99465154	54.3618336	54.09826333	42.46165631	40.36431363	46.00774479	46.94187843	43.16255415
ENSG00000106603	44.51484311	46.23474816	44.91621815	40.68180358	43.9879874	46.07862083	48.89632899	46.32232766	42.16164641	38.27189212
ENSG00000106605	57.01197314	69.54285965	57.68223378	59.96413161	63.24723433	60.77253916	73.39589117	67.79260857	59.1792724	50.84319116
ENSG00000106608	55.561119	45.58624097	59.12680923	43.38523808	46.27523015	45.40043998	44.13347704	43.49108183	51.88145152	49.7600244
ENSG00000106609	98.75700379	98.61124092	80.66106192	74.58873514	95.83215643	85.03634277	92.58435945	86.23502935	110.1046775	96.20490206
ENSG00000106610	6.462895741	8.659478409	9.77608039	9.966879019	8.088220743	7.120898885	7.606857068	6.095043114	7.775844085	5.350187321
ENSG00000106615	23.57637987	23.38440645	20.45921979	20.97604604	27.11542856	23.1335022	27.20650681	25.16662963	21.57478052	20.02217341
ENSG00000106617	40.19525463	24.52883091	46.0584406	29.67263656	36.62903246	47.43498252	27.51489291	40.89577315	46.49572345	42.34197327
ENSG00000106624	271.7713607	162.7371581	136.4283934	100.0596482	94.80455461	108.8480258	169.0983767	137.0794858	309.026066	244.0407529
ENSG00000106628	51.93398363	81.33043158	83.11348071	83.90418416	67.75542294	77.84009046	70.38056044	51.78820504	59.30674526	52.05765086
ENSG00000106633	0.659479157	0.457769784	1.9820919	1.400574503	0.729265805	1.808482257	1.576195609	0.6684886	0.73296891	0.262585881
