	052_V2	054V_2	063_V2	070_V2	072_V2	078_V2	085_V2	092_V2	099_V2	100_V2
ENSG00000132763	12.73249089	8.234759718	74.76832829	12.44575094	74.64180962	60.40053812	78.10327917	88.15753545	8.857431165	7.086053452
ENSG00000132768	18.62655956	18.29577663	0.344078823	18.59273769	0.164192278	0.167779273	0.230782167	0.103471286	16.78555808	18.61699498
ENSG00000132773	5.959196502	8.135145689	0.344078823	7.588872527	0.295546101	0.704672945	0.098906643	0.137961714	6.243762953	7.118262786
ENSG00000132780	53.30712937	63.58695508	99.30114838	62.57025399	96.1838365	91.1712567	95.54381724	90.33043245	47.24931314	47.9274888
ENSG00000132781	8.922512796	12.41854893	23.43176786	11.61097497	20.06429638	17.81815874	17.30866254	18.52136015	8.392779039	9.469544158
ENSG00000132792	28.46086198	35.42938959	24.01670186	37.14753102	21.41067306	21.57641445	18.46257338	19.797506	29.15692095	33.24003256
ENSG00000132793	23.86934992	23.87416225	1.376315293	31.45587663	1.149345947	1.006675635	1.153910836	0.724299	26.5722935	21.06490435
ENSG00000132801	3.6145946	4.681859356	8.774009992	5.539876945	8.997736839	10.16742392	8.440033545	9.898753002	4.123787625	4.155004069
ENSG00000132819	15.85862676	15.17453706	19.09637469	18.25123843	16.48490472	20.066401	15.85803178	20.38384329	18.64416658	20.22746167
ENSG00000132821	0.260511323	0.830116907	7.397694699	1.138330879	6.075114289	7.449399701	7.681749281	5.966844144	0.290407579	1.481629358
ENSG00000132823	25.98600442	30.44868815	68.57490947	35.02264671	61.34223509	58.21940757	69.99293444	59.11659458	29.91198066	29.11723782
ENSG00000132824	227.7520237	259.6937732	11.93953517	248.6873527	9.81869823	9.462750971	9.495037738	10.48509029	258.6660308	238.2524427
ENSG00000132825	12.63479914	13.31507519	36.91965773	10.01731174	30.83530983	35.03231211	29.34230412	32.28304115	11.70342544	10.24256817
ENSG00000132832	0.618714391	0.431660792	29.86604186	0.872720341	29.42325623	21.9790847	30.00168174	28.76501743	0.755059706	0.934070682
ENSG00000132837	45.94768451	23.97377627	5.539669054	34.87086926	4.958606798	5.402492576	5.275020966	5.621939858	37.54969999	30.53444851
ENSG00000132840	180.2738352	88.22482488	17.44479634	157.8485486	14.90865885	14.73102013	11.50613948	19.24565915	146.713909	100.6863777
ENSG00000132842	48.064339	48.37921334	0.929012823	54.22249421	0.853799846	0.637561236	0.593439859	0.379394714	52.94130169	56.88168362
ENSG00000132846	36.43902124	38.48421981	37.3669602	29.25510359	28.73364867	37.78389218	28.64995762	25.48842672	35.05219481	46.92899945
ENSG00000132849	10.48558073	10.69190576	264.6998387	11.61097497	252.1993391	273.547326	276.5100052	263.1274796	9.990020724	15.39606159
ENSG00000132854	139.0804823	27.75910937	12.49006128	106.4718816	11.03372109	11.61032566	9.989570954	13.278815	104.1982394	67.28529846
ENSG00000132874	15.50042369	4.91429209	2.787038468	8.309815417	0.656769112	0.637561236	0.593439859	0.724299	11.35493635	6.667332112
ENSG00000132879	15.10965671	17.46565972	22.81242598	21.3247318	31.82046349	24.49577379	30.66105936	31.35179958	14.98503109	15.62152693
ENSG00000132881	1.791015342	1.461005756	91.42174333	1.783385044	162.2876477	147.3437571	129.1720759	104.2645656	1.713404717	1.288373355
ENSG00000132906	11.49506211	11.92047878	46.69149631	14.22913599	50.07864482	52.816915	54.36568483	56.21939858	10.94836574	10.56466151
ENSG00000132911	0.032563915	0.26563741	29.86604186	0.341499264	61.57210428	24.16021525	46.25534009	44.25121987	0.377529853	0.128837335
ENSG00000132912	70.98933538	72.75144573	10.39118046	71.06979122	10.90236727	9.697641953	13.55021011	9.312415716	75.07035922	74.91891059
ENSG00000132932	0.651278306	0.929730936	76.59194605	0.986553429	47.81279138	106.0700561	70.15777884	102.7124963	1.945730781	0.547558676
ENSG00000132950	15.10965671	19.25871224	5.883747877	16.24018721	9.326121395	4.261593523	10.18738424	9.346906145	16.52419126	15.49268959
ENSG00000132952	23.64140252	31.27880506	15.1738761	26.82666438	17.17451229	14.8987994	18.29772897	16.96929086	27.38543472	32.27375254
ENSG00000132953	32.9546823	31.2123957	1.92684141	27.16816365	2.364368804	1.778460289	2.24188391	1.552069286	29.41828777	33.78759123
ENSG00000132963	80.5956904	72.71824106	9.806246462	80.06260516	9.950052052	11.71099322	9.330193333	8.864040145	72.83422086	73.95263057
ENSG00000132964	14.19786708	13.87955469	0.172039412	13.43230437	0.229869189	0.436226109	0.593439859	0.310413857	13.56203395	12.59384954
ENSG00000132965	10.8437838	29.75138995	67.85234394	19.54134676	69.71604128	79.39315177	73.94920016	69.98107959	14.95599033	21.93455637
ENSG00000132967	0.879225713	1.128958994	0.412894588	1.024497791	0.295546101	0.134223418	0.263751048	0.172452143	0.84218198	1.030698684
ENSG00000132970	74.40854649	68.10279105	1.513946822	77.55827723	1.149345947	0.872452217	1.648444052	0.655318143	100.6843077	117.6284873
ENSG00000132972	0.065127831	0.298842087	0.378486706	0.796831615	0.032838456	0.067111709	0.230782167	0.586337286	0.087122274	0.934070682
ENSG00000132975	0.195383492	0.166023381	18.64907222	0.151777451	17.17451229	16.375257	17.63835135	17.21072386	0.232326063	0.837442681
ENSG00000133019	0.521022645	0.830116907	32.10255421	0.72094289	28.60229484	29.89826637	28.38620657	26.66110129	0.348489095	0.322093339
ENSG00000133026	137.1917752	151.81178	33.23801432	139.6352545	29.68596388	31.77739422	35.96904921	35.97351701	152.8995904	123.5227954
