,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.05315733,1.1515808,-0.31409454,1.056568,-0.7371258,1.2786031,-0.5776812,0.8842419,0.5168451,0.80552006,0.7770745,-1.0346365,0.23512554,-2.508605,1.0372312,-0.6469956,0.5198747,-0.065005004,0.24466352,-0.34805214
1,0.5170486,-0.845618,-0.03831774,1.4270271,-0.81852144,0.8587661,-2.19377,-0.7800713,-0.4505332,0.7159196,-1.1718369,-0.4771704,-1.0094777,2.3735676,2.9073408,0.31500444,0.11297181,-2.2711914,0.09344277,0.37994015
2,0.33888236,-0.4815336,-0.43199348,-0.593835,0.8013456,-0.16201103,-0.08182508,-0.28261298,0.21661654,-0.09233326,-1.0150981,0.275198,-0.9319991,2.6628456,2.8042479,0.5804638,0.8087114,-0.9543693,-1.3527383,0.450732
3,0.43912622,0.576642,-0.07539284,0.8002251,0.812127,-0.65935,0.39675307,-1.2243075,0.3029808,0.07360312,0.64444345,1.1146148,-0.016243756,0.5937818,-0.9546793,1.9449198,1.555524,1.284608,-0.8133418,-0.7747399
4,-0.08068359,0.20056027,0.2892237,0.476066,0.122776255,0.8162968,-0.49953604,0.7198695,-0.29517996,0.40245333,0.62537855,-1.4544632,-1.5467587,-0.14801991,-1.0063889,-0.9571397,0.5071169,-0.47640815,-0.8896557,-0.29185283
5,0.7280003,-0.12424511,0.9469447,0.42255887,0.25353694,1.802381,-0.0014400482,1.3163974,0.24891809,-0.6540366,-0.56749916,-0.5514862,0.25957036,0.46359098,-0.8088454,0.5260747,-0.6228801,-0.63558114,-0.4128952,-1.7458584
6,-0.39017305,-0.20028967,-0.24783754,-0.288671,0.9723916,-1.974013,-0.38064653,-1.9645393,0.50318944,-1.1557428,0.47075933,-0.67187697,-0.08992928,0.9986063,1.2358496,0.8762474,0.1035967,0.10238704,0.6378963,-0.30813777
7,-0.3439126,0.3341207,0.80180985,0.17207557,-0.7072007,0.41329002,0.90361464,0.5567064,-0.0318698,1.7954254,0.4626636,0.4240413,-1.503789,-0.26235408,-0.96298313,1.5617805,1.0636029,0.7827636,-0.34269917,-0.95968986
8,0.7888719,0.0765664,0.7701209,0.7311048,-0.55205715,0.2701404,-0.36167932,-0.8539728,-0.8192407,-0.18271664,1.2004702,1.3227003,1.1004976,-0.8887558,-1.7749054,0.36732692,0.51904345,-0.64815986,0.11772893,1.4064623
9,-0.6390839,-0.5829196,1.1061463,0.28449744,0.01994367,-0.9820303,0.07398796,1.5346811,0.4599717,0.05718419,-0.5790142,1.0427332,0.17812902,0.28244507,1.2767503,-0.0007211566,1.4818323,-0.2086077,-1.7661992,-0.47966987
10,-0.7409725,-0.6719061,-0.66427547,-0.8981769,-0.15933244,-0.054937363,0.6859585,0.07195431,-0.02532208,-1.555726,-0.20039576,-0.8098672,0.6836386,1.1098098,-1.6186825,-0.16930336,-0.7133087,-0.8020214,-0.38696986,0.76051605
11,-0.685097,-0.46156663,-0.8846746,-0.99160504,-2.2743294,1.7276525,0.3080628,-0.26424268,-0.93274426,-1.465988,0.42394882,1.4912353,0.55884075,0.5984466,0.33004558,-1.5390718,0.8562131,-0.25709024,0.100605585,-0.64909124
12,0.11044076,-0.331236,-0.20824176,0.53184956,0.6065281,-0.7194331,-0.5488075,0.19553429,0.32434282,-0.37480593,-1.0495011,0.7985303,-1.2941138,2.5038161,1.9632127,0.7147473,0.86469173,-0.3142639,-1.0322589,-0.19490087
13,-0.057207763,-0.057329357,0.156824,-0.5891886,1.0077137,0.40354645,1.2698616,-0.9668231,0.5312749,-0.13021433,-0.9990759,0.04395187,-0.4273582,0.9729427,-1.5617423,-1.3130231,1.0328844,-0.70820796,-1.0451238,-0.3926841
14,-0.2347405,1.0086391,0.62928176,-0.02891258,0.1245449,-0.00031363964,-0.57405335,-0.4761852,0.8125373,-0.5276158,-0.24123964,-0.8992626,0.18247986,-0.8113229,-0.63423073,0.3045971,-0.84620583,-0.43760172,0.9007118,-1.3133428
15,1.0620769,-1.1410246,0.16091955,-1.2855886,-0.26115215,0.091026545,0.6199733,0.7315436,0.54575634,-0.84630835,0.5065581,-0.5789103,0.39100647,1.5760597,0.045987964,0.15723464,0.90712786,-1.2210165,-0.56364995,-0.69177467
16,0.19326994,0.42895323,-0.7534682,-1.5588061,0.1723062,-1.3367001,-0.3343768,-1.0008566,-0.67178893,-0.8392087,-0.2609478,-0.60319597,0.68927526,0.5993426,0.52923715,0.072728515,-0.9057417,-0.113788575,-0.31387952,-0.17956913
17,-0.6331897,-0.7881137,-0.529324,-0.18569386,1.119073,0.32289982,0.49291527,-0.37859446,-1.7569687,-0.5166965,0.0039678216,-0.53072065,-1.2314625,-0.4364965,0.052680016,-1.1800373,-1.0624259,-0.52227235,-1.481174,0.14308739
18,0.6872132,0.7212284,-1.9910493,2.3138452,0.8128134,-1.0638084,-0.10063857,1.5564921,0.20127562,0.12556353,1.939733,-0.64628786,-0.86215025,-0.4404859,-1.6228958,0.31176046,1.7162273,-0.48205838,0.3252781,-1.5788982
19,-0.5682546,-0.36845344,-1.3387418,0.33711377,-0.31203538,0.039800763,0.9467566,1.280653,0.35820076,-0.76855135,0.36703634,-0.5578229,0.46593368,-0.6507622,0.8400922,-0.8168736,-0.70396364,-0.7533026,0.965178,-1.6535987
20,2.309715,0.5936126,1.9175558,-1.224542,1.7923422,2.3369868,-0.17385674,1.7347989,-0.3166331,1.2292743,0.33610874,-1.7314675,-1.4739871,1.0963651,0.14334762,1.1210601,-0.70959806,1.6874337,0.80164945,0.92052686
21,-0.4374847,0.0006967783,-1.7472951,0.055111796,-0.27102488,-0.22478473,-0.29108423,-1.0301342,-1.5098585,-0.7919506,1.4765515,1.1171033,0.11220795,-0.29204684,-1.3246391,0.58399665,-0.7790508,-0.7268673,-0.023274867,1.6817268
22,1.0678717,-0.80622965,0.036189526,-0.39052552,0.37488317,-1.257244,0.57297254,-0.6274647,-0.4466062,-0.74859774,0.46287292,0.7922859,-1.7264822,0.6517998,0.73586035,1.4782302,-0.797766,-0.84958494,-1.2981777,-0.07517886
23,0.34490427,0.68721205,0.4572577,-0.9861119,-0.5430744,1.5493522,0.90967107,-2.8685381,-1.1131566,-1.5487466,1.0132895,0.5128723,0.3890382,0.82242906,1.4399147,-1.3788517,0.89054,0.9440408,1.1861777,0.3620484
24,-0.35504004,2.6502244,-0.61549276,1.730471,0.6990301,0.31404638,-0.18065739,-0.28798804,1.2728723,0.35223898,0.9036048,-0.6012369,0.27374625,0.20520854,-2.5608368,1.0424949,-1.0080527,0.20847443,0.8723188,-1.6460385
25,0.21676704,1.8986983,-1.5059328,1.7450222,-1.1650937,0.9462111,0.37168324,2.178402,1.4637848,0.34502962,1.7870092,-0.27381694,-0.96017253,0.2237705,-2.2361326,1.225063,0.41937587,0.74813074,0.8225329,-0.72366315
26,3.0052218,-0.7954391,-0.667425,0.35206452,0.895952,-0.9435961,-0.4487658,1.6118431,-0.7478688,0.5412425,-0.25524536,0.23714897,0.7512319,0.8341905,-0.8996731,1.0787508,1.530807,0.961712,-0.7858273,1.120943
27,0.40558472,-0.18662477,-0.44767404,-0.20688328,-0.805033,0.6778245,-0.38090056,0.9294315,0.64098585,-0.31702358,1.5843496,-1.1510727,-0.36634868,-1.9135674,1.4668617,-1.1450891,-1.5316311,0.9603176,-0.03380683,1.1088406
28,-0.6332803,-0.17981935,0.8897234,-0.7912738,0.4092313,1.2136798,0.07937896,0.63080615,-0.28164595,-1.2701112,-0.55965424,-1.5165539,1.5723205,-0.5974239,-0.6410618,0.04336673,1.4669093,-0.376442,-1.1900389,0.8876599
29,-0.11617684,0.84653264,-0.4279874,-1.2640672,-1.0098554,0.6906378,1.3288926,-1.1625886,-0.33745518,-0.75337976,0.19613057,-1.1462176,-0.5308337,0.07014668,-1.3049545,-0.19344842,0.26551116,-0.23075679,-0.15604672,1.1976863
30,-0.85798144,-0.70809364,1.2692778,-0.40743512,0.15820716,-0.8031684,-0.9182817,-0.123362124,0.24341455,0.845641,1.2279401,-0.6422792,-0.32364988,-0.9742789,0.94369507,-0.13079661,-0.24989113,-0.4426367,0.536072,-0.1960764
31,-0.85565126,-0.7761452,-0.22528946,0.3395619,0.73851997,-2.3657882,-1.267217,0.15535912,0.19446632,0.45393804,0.67018455,0.030753255,-0.70145524,-0.6361531,0.84086657,0.22073558,1.0435438,-0.40537825,0.114454694,-0.31560123
32,0.7143835,-1.033129,-0.4647758,0.4046242,0.9063202,0.017680764,-0.77816284,0.18001184,-0.8011743,-0.18204665,-1.0186102,0.40246165,-0.91757554,-0.18737191,-0.93299806,0.47838053,-0.069660485,0.6739732,-1.725984,-0.5815619
33,0.6220404,0.4777922,-0.6007076,0.50150156,-0.5800571,-0.31289244,-0.9454962,0.35148555,-0.4793338,-1.5000024,0.5371346,0.87647,0.74480665,-1.3443788,1.5329411,1.0386041,1.1938076,0.7410021,-0.73092276,0.17788935
34,-0.64262855,0.18731445,-1.4348297,-0.5901487,-0.56868345,-0.44275916,0.021902919,0.309357,1.4869728,0.42503384,-0.1297566,0.6808666,-0.17836314,-1.1313248,0.9325037,0.2457191,0.69481915,-0.671795,-0.30720612,-0.9575459
35,0.5120597,0.033322155,0.43967628,3.0553784,-0.47594953,1.118964,-1.1768252,-1.5278163,0.35834494,0.3218008,0.44590515,0.3126137,-0.42126,0.92114675,-0.3201868,-0.09580475,1.0554637,0.084877014,2.2607088,-1.9810343
36,-0.88707983,0.36587077,0.61313117,2.9716594,-0.16750714,-1.075077,0.6387893,-0.70828825,-0.69137704,-0.119223446,0.51814884,0.17026454,0.6235553,0.84026587,-0.8820771,-1.6299047,0.67506075,0.7857366,0.009009748,-0.54057324
37,-0.7472813,-0.8935186,-0.86517626,2.03658,-0.5309797,-2.033492,-0.4437366,0.1990825,-1.327198,-1.9027972,0.94744796,0.8472254,0.5215844,1.1550459,1.4987519,0.905106,-1.098264,-0.028751045,0.1939588,-0.5879272
38,-0.6237773,-0.39913076,0.939922,-0.43993494,-1.7221626,0.69370747,0.8251201,0.2228638,-0.6855654,0.67226624,0.3638878,0.3608454,-0.0026009083,-1.9556102,-0.9209838,0.38176548,-0.6737405,0.25164312,1.0926942,0.6289412
39,-1.020807,0.3370276,-0.13507384,-0.0074223075,0.10456918,-0.8299381,-0.3982467,-1.2812531,0.77226293,-0.049702466,-0.75852376,0.45312953,0.15571845,-0.4261806,-0.06997144,-0.108113825,-1.2018596,1.1538494,0.0028260853,-0.8553895
40,-1.6103404,-1.2847927,0.08641142,0.4265443,-0.3367195,-0.2475059,0.062806845,1.8537226,-0.64722556,0.1992524,-0.2684663,-0.41509247,-1.0961249,-0.56671274,-0.35686356,-0.25368512,0.07729362,-1.4219,-2.166475,0.048852086
41,-2.2666173,0.24804872,-0.063198924,0.04025417,-0.1714422,-1.4147497,-0.61938465,1.2816584,-0.8480903,-0.92087805,0.70762914,-1.1017437,0.50170887,-1.0540094,-1.2151212,-0.88090414,0.531209,-0.65640604,0.22958802,0.20351446
42,-1.9819068,-0.5820713,-0.08328259,0.07962584,0.14611514,-0.8592787,-0.46737623,-0.23219506,0.35050085,0.001891166,0.033198655,-0.5622818,-0.48565903,0.9537817,-0.075002074,0.09376809,0.322949,1.0049498,-0.84488,-0.9833713
43,-0.42207834,-0.35256857,-0.52756387,-0.88930076,1.1135008,-0.35723686,-0.9523749,-0.3754781,0.25920084,-0.17233244,1.2759151,-1.5195453,-0.36796138,0.19945991,-1.6235077,-0.12862521,0.33159524,-0.49691626,0.86389285,1.5843731
44,-0.7779323,0.68710786,-0.4972393,-0.7519471,0.5992312,-0.54818755,0.06702113,-0.28196856,1.8907506,-0.64157784,-0.6293363,-0.29025286,0.8226291,-1.0623349,-0.9042344,0.6324336,-1.1909944,0.57366616,0.15745455,-0.13155615
45,-1.9774668,-1.2747066,0.4678214,2.0386758,-0.2860738,-0.17422724,-0.8214363,0.9864932,0.50568116,-0.5055954,0.53101295,1.2736123,1.3170893,0.049205303,-1.8334994,1.5036571,1.520264,0.56103194,1.2647834,1.6734866
46,0.12765995,-1.7356352,1.8277104,0.86971265,-1.2652597,0.29922628,-1.3765815,0.5199786,-0.4918889,0.34721723,-0.060188472,0.4412726,-1.1886231,-0.5973915,-0.95436925,-0.675301,0.837746,0.4613555,-0.70813423,-0.93115973
47,-0.44633383,1.7716234,-0.4599905,0.34947065,0.65277797,-0.0014783144,1.2306494,-0.39904687,0.8281944,0.28825065,-0.36173844,-0.76548046,-0.91357994,0.74460053,-0.12273574,0.59995306,-0.66079986,0.7848828,0.35743073,-1.8261107
48,-0.34316012,1.1866994,0.034456164,-0.6178136,-1.0493636,0.19178104,1.3393205,1.6525328,-0.70275927,1.3035432,1.2729411,-0.4452508,0.7208363,1.9754373,0.8784716,-0.5584919,-0.45037422,-0.5914396,-0.08277346,-0.55747795
49,-1.2588532,-1.0806977,-0.79425865,1.5736979,-0.96476024,0.31023157,-1.2133319,-0.2257204,-0.80145943,0.90843105,-0.7009213,0.42162126,-0.042142272,-0.01674056,-0.023192406,0.79174995,1.2482748,0.35434648,1.2684714,3.6295657
50,0.6505606,-0.44648522,0.595261,0.15046428,-1.7728841,0.104661465,-0.5222192,-0.54031175,-0.5945583,0.098923,0.8890379,0.9508443,-2.583948,-1.3158631,-0.84847856,0.75139,-0.946795,0.9029467,0.5624899,-0.16821086
51,-0.70360607,-0.4519121,0.043926507,-1.3959787,-1.8668187,0.66978097,0.43589628,0.51891667,0.48064467,0.6398506,0.29881418,2.0495422,-0.77394986,-1.4299212,-0.26340443,0.6462514,-0.9686078,-0.5259305,0.94834876,0.33731782
52,-0.8527566,1.0546384,0.4510286,0.39197683,-0.43946517,-0.21975267,0.42313576,0.6553438,0.15064242,0.43672463,0.17789894,0.8831972,-0.23651338,-0.6041743,-1.1294283,-0.58735055,0.076383784,0.7736233,-1.1406411,-0.18950415
53,-0.9552889,-0.12755573,0.07206744,0.3918519,0.117299244,-0.872224,0.34485173,-1.0098928,-0.05556321,-0.7817502,1.6734424,-0.27166855,0.4584365,-0.24096292,-0.308119,-1.4648767,0.48674244,-0.36177292,-1.8391759,0.8937162
54,1.1326348,-0.91660714,1.3699768,0.51019686,-0.091332726,0.7995877,-1.920242,1.3888028,-0.5426734,0.24099621,1.0531085,0.530399,-0.92432487,-0.42043567,-0.8068937,-0.30562556,0.3488864,-0.5371659,-1.3808047,0.6608039
55,-0.7528136,0.33289462,-0.74291533,-0.17143838,-0.26860392,-0.22947681,0.28235972,-2.1523547,0.33784178,-1.1545268,-0.55019224,0.80812454,-0.18963909,0.64717615,1.4244907,1.0468253,-1.0984709,0.5144959,-0.9592469,0.14820027
56,0.61524117,0.60241026,0.18744585,-0.056773588,0.35802943,0.15754545,-0.041392922,-0.21127525,1.4273335,-0.79550135,0.5234104,-0.25137722,-0.23254257,-1.9385931,-0.3061617,0.8005505,-0.37871656,1.1717787,0.5973003,0.8579985
57,0.22135863,0.02311337,-0.43304282,0.61834955,-0.3767038,0.009926558,-2.1527863,-0.8194998,0.117323846,2.0735176,-0.37142625,-0.17293209,-0.4930796,-0.76396,-0.97295713,-1.3622775,-1.107819,-0.871699,0.9840292,2.4609008
58,-0.15080623,1.3872967,0.19007403,-0.19902928,-0.09183735,1.6272576,-0.6353079,1.9457996,-0.6188035,1.2141926,-0.45554537,-1.3555179,0.10905999,-1.2780609,-0.6894653,-0.7223758,2.0532773,-1.1831702,0.06165749,1.6100825
59,1.7661363,1.8123457,0.6374709,-1.5946014,-0.5371454,0.092993855,-1.2516015,-1.2283832,0.4402378,1.7514019,-0.91674006,0.322227,-0.9128694,0.62135386,-0.7611387,-0.7424739,0.92109907,0.521816,0.4433178,0.9454533
60,-1.0296052,-0.20475382,-0.9348088,0.0929665,0.027638167,-1.2228501,1.1731919,1.0158644,-1.3805884,-0.37100604,-0.2810585,-0.82880837,0.47848713,-0.29196125,0.63924134,-0.80451876,0.3152722,-1.1274644,-1.1807207,-0.5618119
61,-1.365712,1.6499894,0.62174463,2.5883615,-0.65296763,-0.644256,0.28374565,2.332583,0.33660004,0.2239925,0.9967578,1.3989426,0.7903055,1.3391832,-0.26743442,1.4637783,0.05061975,0.009204179,0.6212372,-1.6379976
62,-0.2898292,-1.3323274,-0.13682926,-0.18192807,-0.50380886,0.94255495,0.49621558,1.0226202,-0.12429774,-0.6748235,0.6117191,-1.5439262,-0.3321557,-1.3268938,0.25892723,-0.39959234,1.1331066,-0.8897418,0.6842863,-1.0878408
63,0.43543193,0.30096084,-0.36789232,-0.894594,-1.0790479,-0.94174457,-0.683814,-0.6331992,-0.60589683,0.5418606,2.304187,0.76537377,-1.0113838,-0.28448415,-0.55821407,-1.0561028,-0.20278403,-0.545406,0.20105164,0.33629656
64,-0.14899525,0.29381734,-0.30095303,1.1010509,0.35336667,0.29319406,0.73723865,-0.038589388,0.992604,-0.16115198,-0.35335392,-0.03594637,0.8445413,1.1530699,-1.0929742,-1.1430001,0.042837977,0.53479815,0.7505277,-2.2178147
65,-0.6549611,1.0296953,0.9008849,-0.2043363,-1.2270298,0.58567965,-0.4114974,-0.61628056,0.94580245,-0.047371,0.48539895,1.8158102,0.76969576,-1.1854059,1.6270032,-0.43265778,0.033277363,0.65806055,0.7210542,-0.14986289
66,0.9261154,0.26619095,-1.5314939,-0.39366126,-0.6753279,0.20761216,-0.9332851,0.30176342,-0.79179585,-0.504446,0.51787704,0.41360041,-1.2457042,-0.8382031,-0.84385884,-0.7241965,0.346037,1.5075293,0.081063785,0.14188623
67,0.59237707,0.97964424,0.469986,0.88574713,-0.19970796,0.04398024,0.26122534,0.69013554,1.1894668,0.13998023,-0.48946953,-0.23040527,-0.18456972,0.21547842,-1.0375732,-0.06995022,-0.6257781,0.095843464,0.70758015,-2.2122664
68,-0.55315626,1.1639051,0.30995107,-0.53643745,-0.47055042,-0.36278284,-0.9459829,-0.1967817,0.048136085,-0.47890326,-0.22672907,-2.0249734,-0.40283826,0.3818028,-1.1709398,0.15153864,0.49545494,-1.2545688,-1.0958643,0.18664026
69,0.06325376,-1.5093889,-1.7609098,-0.24105625,0.6086153,0.26344013,0.5748285,0.7124691,-0.01022014,0.5656712,-1.4354134,0.09025931,1.1784935,2.6463394,1.756355,-0.058489442,0.3128006,0.7501776,-2.5644312,0.44127142
70,-1.146715,1.3029926,-0.49240178,0.2402452,-1.3074602,1.9710972,-0.42808908,-1.2099524,-0.87174934,1.1970888,-1.1885988,-0.3329296,-1.5398088,1.5143977,0.9360421,0.4108708,0.031796068,2.0481324,-0.021785451,-0.5319784
71,-1.1276513,1.0789602,0.935382,3.1205099,-0.30337474,-0.59072936,0.36272502,-0.7078178,-0.51959074,-0.29912332,0.88891584,-0.060475647,0.30921304,1.0793973,-0.55653775,-1.1194613,1.0704277,1.1760452,0.4424294,-0.48666394
72,0.58400166,-0.16940653,0.93910605,0.41515517,-1.5830367,-1.3773682,-0.29633534,-0.7926044,-0.8334899,1.2824252,0.798456,0.7334006,-1.2580571,0.088719964,0.9838109,-1.0719142,-0.8787558,1.0436363,0.89470124,-0.46204478
73,-0.72597003,0.29056615,0.34941408,-0.82468784,0.26325256,-1.0354158,-1.0898219,-0.6117269,1.0212257,-0.47588882,-0.12648201,-1.8101335,0.2754618,-0.50994736,-0.19006836,0.8525474,-0.11717528,-0.096469104,-0.13273752,-0.64804447
74,-0.84031665,0.373846,-0.520518,0.32659078,1.511296,-0.8313037,0.71288276,0.14326465,-0.45193797,-0.46522245,1.2872605,0.066676736,-0.012582183,-1.1855855,1.414901,-0.33842224,-0.39017192,0.33134553,-0.7413534,-0.2717018
75,-1.1852424,1.4043105,0.2032288,-0.9381226,0.98601305,0.6332933,1.3280383,1.6084409,0.40781167,-0.8748182,-0.44579512,-0.23102498,-0.8634005,-0.5614377,-0.15330303,0.15265724,-1.1469147,0.27473596,-1.1707236,1.1082958
76,0.09987256,0.6596195,-0.026705742,0.65563726,-0.7158025,-0.25740373,0.94496095,-1.2957845,1.7545488,-0.445498,-1.4097397,0.87107253,-0.3139134,0.48378527,-2.3460913,-0.85379034,-0.21863696,0.35768345,1.0376923,2.0711708
77,-0.39125553,0.6647623,0.22867367,0.06588087,-0.46606803,-0.80536973,1.544027,-0.6079595,-0.83818233,-0.6982928,0.8880171,0.5025118,-0.17986012,2.7388897,0.6501368,-0.39922696,0.51539445,1.5321461,-3.0615823,1.7453698
78,-0.37440974,-1.2667918,0.94561577,-0.32307822,-0.656322,-1.3689151,0.6405575,-0.09960899,-1.1064802,-0.849825,-1.5805247,0.4358669,1.1208024,-0.44678885,0.13646996,-0.43796533,0.046019047,-0.03363633,0.20676002,-1.0621235
79,-1.1227547,0.14081568,0.40572137,-0.32707924,0.28464067,-0.2194593,0.7913753,0.61563814,-0.63658774,0.7846286,0.28728867,-1.0157311,0.21648252,1.3153516,0.15449226,0.5940204,0.6198194,-0.004154712,-0.9858104,-0.64479625
80,-1.3757039,0.6791627,-1.9514999,-0.33152866,0.5983016,-0.60479397,0.00552392,-0.0110916495,-0.27639043,-0.9796454,1.0885913,-1.6084869,0.61283374,0.31693733,-1.0592282,-0.20526528,0.4733789,-1.8118234,-1.0611689,-0.21462655
81,-0.22934121,1.1686716,-0.99860626,-0.16843672,-0.6241705,-0.19167972,-0.7655698,0.75600594,-0.9321017,1.9889314,1.0383062,0.09588912,-1.8742054,1.3409764,-0.5812244,0.76428974,1.3337771,-0.7268112,-0.6964853,-0.541442
82,1.4622533,0.8125842,0.07340279,-0.68049383,1.9067749,-0.27995503,0.9799969,0.7123774,0.5046607,-0.23177044,1.0181866,-1.3005528,0.60272276,-0.2266708,-1.187371,0.3571766,0.3617112,1.5738826,-0.19483024,0.6187055
83,0.32150164,-0.30986494,-0.022995532,0.7102109,-1.1743627,0.25960147,-0.0841797,0.71393263,1.1537127,-1.5544345,-1.6830904,-1.1244023,0.9994173,-1.6593447,-0.6123496,0.68661726,0.13536516,0.71699524,-1.1800154,1.7436172
84,-0.17206438,-0.6442467,1.3057593,-1.2656003,0.45841128,-0.2131685,-1.3363068,-1.1956229,-0.08825326,0.83133554,0.8348071,0.14822966,0.55497277,-0.24187315,-0.3807143,0.73041916,1.1168805,0.26163536,0.214318,-0.02665782
85,1.4192879,-0.6656825,-0.4858489,-0.051590182,-0.825081,-1.2372279,0.6226052,0.8205382,-0.53485715,-0.40317225,-0.47975576,-0.30877656,0.57550585,-1.255389,0.7129483,0.10011122,0.56358546,0.26643348,-0.051451698,-0.30543363
86,-0.6683973,-0.63151324,-0.40222478,0.03861286,0.26094967,0.16260302,-0.9575025,0.73946387,-1.8113596,-0.54196775,-0.6541779,-0.8578767,1.3533213,0.40359008,-1.2744377,0.19866961,-0.9294832,-1.2490845,-0.9192956,2.1729484
87,0.16385832,0.40872854,-2.1334379,1.4547864,-0.36486286,0.038476825,0.9143703,-0.39573142,-2.7193434,-0.48313278,-0.7774099,0.96786577,1.0828283,0.8607589,2.7291589,0.059298456,-0.9679265,0.46087217,0.7954828,0.59958136
88,0.7089393,-1.8170433,-0.9541244,1.2963911,0.0195909,0.9598956,-0.57519186,0.06596345,1.0672815,-0.8141556,1.0038738,1.6494176,0.38687515,-0.12979186,-0.18298507,2.40779,1.5658716,-0.34128556,0.77483433,3.1826553
89,-0.65559053,-0.48000357,-2.098253,0.67569834,-0.69335437,-0.5159624,0.48283482,-0.18446444,0.014992267,-1.0091636,0.19413298,1.6267796,0.80123997,1.162325,-1.4366193,1.0161271,-1.4596374,2.323464,0.7730104,2.1548195
90,0.21800807,1.2175996,0.90590787,0.6997113,-0.45149338,1.3557658,-0.27920133,1.6211143,-0.88632214,0.5837921,-0.8747842,-0.74646205,-0.97563815,-0.41864073,0.20848823,0.95278716,-0.5201609,-0.93180764,0.212699,-1.5112622
